tocar	spielen (Instrument); anfassen	Unidad 1
la guitarra	Gitarre	Unidad 1
bailas	du tanzt	Unidad 1
la salsa	Salsa	Unidad 1
el tango	Tango	Unidad 1
tocas	du spielst	Unidad 1
el instrumento	Instrument	Unidad 1
entonces	dann	Unidad 1
tener algo en común	etwas gemeinsam haben	Unidad 1
Grecia	Griechenland	Unidad 1
trabajo	ich arbeite	Unidad 1
trabajar	arbeiten	Unidad 1
el turismo	Tourismus	Unidad 1
participar (en)	teilnehmen (an)	Unidad 1
el congreso	Kongress	Unidad 1
internacional	international	Unidad 1
mis	meine	Unidad 1
el/la colega	Kollege/-in	Unidad 1
la conversación	Konversation	Unidad 1
viajar	reisen	Unidad 1
el teatro	Theater	Unidad 1
leer	lesen	Unidad 1
leo	ich lese	Unidad 1
mucho	viel	Unidad 1
¿Dónde?	Wo?	Unidad 1
¿Quién?	Wer? (Singular)	Unidad 1
¿Quiénes?	Wer? (Plural)	Unidad 1
¿Por qué?	Warum?	Unidad 1
¿Para qué?	Wozu?	Unidad 1
el motivo	Grund, Beweggrund	Unidad 1
solicitar	beantragen, sich bewerben um	Unidad 1
por amor	aus Liebe	Unidad 1
por	pro; durch; für; wegen	Unidad 1
el amor	Liebe	Unidad 1
beber	trinken	Unidad 1
el café	Kaffee	Unidad 1
el chili con carne	Chili con carne	Unidad 1
la carne	Fleisch	Unidad 1
el libro	Buch	Unidad 1
usar	benutzen, verwenden	Unidad 1
la palabra	Wort	Unidad 1
gratis	kostenlos, umsonst	Unidad 1
escuchar	(zu)hören	Unidad 1
el mate	Mate(-Tee)	Unidad 1
tampoco	auch nicht	Unidad 1
la comunicación	Kommunikation	Unidad 1
la práctica	Übung	Unidad 1
la gramática	Grammatik	Unidad 1
el capítulo	Kapitel	Unidad 1
el encuentro	Begegnung	Unidad 1
el/la desconocido/-a	Unbekannte/r	Unidad 1
la estación	Station, Bahnhof	Unidad 1
verdadero/-a	richtig, wahr	Unidad 1
falso/-a	falsch	Unidad 1
la presentación	Präsentation, Vorstellung	Unidad 1
la nacionalidad	Nationalität	Unidad 1
la estrategia	Strategie	Unidad 1
Esta es mi gente.	Das sind meine Freunde und Familie.	Unidad 2
la gente	Leute	Unidad 2
la uni	Uni (umg.)	Unidad 2
el tiempo	Zeit	Unidad 2
la comida	Essen	Unidad 2
feliz	glücklich	Unidad 2
el fin de semana	Wochenende	Unidad 2
el/la amigo/-a de toda la vida	alte/r Freund/in	Unidad 2
otra vez	nochmals	Unidad 2
el/la mejor amigo/-a	bester Freund / beste Freundin	Unidad 2
mejor	besser; beste/r/s	Unidad 2
¡Qué…!	Wie …!	Unidad 2
guapo/-a	hübsch, gut aussehend	Unidad 2
tus	deine	Unidad 2
los hermanos	Geschwister; Brüder	Unidad 2
el/la hermano/-a	Bruder / Schwester	Unidad 2
el buen rollo	gute Stimmung (umg.)	Unidad 2
el/la compañero/-a de clase	Klassenkamerad/in	Unidad 2
la pareja	Partner/in	Unidad 2
la foto(grafía)	Foto(grafie)	Unidad 2
creo que	ich glaube, …	Unidad 2
creer	glauben	Unidad 2
por ciento	Prozent	Unidad 2
entre	zwischen	Unidad 2
su	sein/e, ihr/e, Ihr/e	Unidad 2
el padre	Vater	Unidad 2
la madre	Mutter	Unidad 2
los hijos	(eigene) Kinder; Söhne	Unidad 2
el/la hijo/-a	Sohn / Tochter; Kind	Unidad 2
solo/-a	allein	Unidad 2
el/la compañero/-a de trabajo	Arbeitskollege/-in	Unidad 2
el trabajo	Arbeit	Unidad 2
el/la compañero/-a de estudios	Studienkollege/-in	Unidad 2
los abuelos	Großeltern	Unidad 2
el/la abuelo/-a	Großvater/-mutter	Unidad 2
los tíos	Onkel und Tante	Unidad 2
el/la tío/-a	Onkel / Tante	Unidad 2
los padres	Eltern	Unidad 2
el/la compañero/-a de piso	Mitbewohner/in	Unidad 2
el piso	Wohnung	Unidad 2
Estambul	Istanbul	Unidad 2
nuestro/-a	unser/e	Unidad 2
vuestro/-a	euer/e	Unidad 2
sus	seine, ihre, Ihre	Unidad 2
el/la hijo/-a único/-a	Einzelkind	Unidad 2
tener contacto (con)	Kontakt haben (zu)	Unidad 2
la escuela	Schule	Unidad 2
hablar de	sprechen über	Unidad 2
el problema	Problem	Unidad 2
la residencia	(Studenten-)Wohnheim	Unidad 2
siempre	immer	Unidad 2
el/la primo/-a	Cousin/e	Unidad 2
la situación	Situation, Lage	Unidad 2
cerca (de)	in der Nähe (von)	Unidad 2
ayudar	helfen	Unidad 2
el futuro	Zukunft	Unidad 2
todo/-a	ganz	Unidad 2
independiente	unabhängig	Unidad 2
pasar	verbringen	Unidad 2
el estado civil	Familienstand	Unidad 2
¿Con quién?	Mit wem?	Unidad 2
el aspecto	Aspekt; Aussehen	Unidad 2
estar	sein (Zustand/Ort)	Unidad 2
soltero/-a	ledig	Unidad 2
casado/-a	verheiratet	Unidad 2
separado/-a	getrennt	Unidad 2
divorciado/-a	geschieden	Unidad 2
recuerda	denke daran	Unidad 2
nuevo/-a	neu	Unidad 2
nos	uns	Unidad 2
presentar	vorstellen	Unidad 2
el premio	Preis, Auszeichnung	Unidad 2
ti	dich, dir	Unidad 2
bajo/-a	klein	Unidad 2
delgado/-a	schlank	Unidad 2
tener el pelo moreno	dunkle Haare haben	Unidad 2
moreno/-a	dunkel(haarig)	Unidad 2
corto/-a	kurz	Unidad 2
llevar	tragen	Unidad 2
la barba	(Voll-)Bart	Unidad 2
simpático/-a	sympathisch	Unidad 2
alegre	fröhlich	Unidad 2
optimista	optimistisch	Unidad 2
demasiado	zu (sehr)	Unidad 2
responsable	verantwortungsbewusst	Unidad 2
el hermano mayor	großer / älterer Bruder	Unidad 2
el cómic	Comic	Unidad 2
la música electrónica	elektronische Musik	Unidad 2
solo	nur	Unidad 2
el defecto	Fehler; Defekt	Unidad 2
compartir piso	in einer WG leben	Unidad 2
compartir	teilen	Unidad 2
no… nada	überhaupt nicht	Unidad 2
ni	nicht einmal	Unidad 2
el sándwich	Sandwich, belegtes Brot	Unidad 2
alto/-a	groß	Unidad 2
rubio/-a	blond	Unidad 2
largo/-a	lang	Unidad 2
normalmente	normalerweise	Unidad 2
las gafas	Brille	Unidad 2
la lentilla	(Kontakt-)Linse	Unidad 2
normal	normal	Unidad 2
divertido/-a	lustig	Unidad 2
trabajador/a	fleißig	Unidad 2
bastante	ziemlich	Unidad 2
constante	ausdauernd, beständig	Unidad 2
los apuntes	Mitschrift	Unidad 2
perfecto/-a	perfekt	Unidad 2
organizado/-a	ordentlich, strukturiert	Unidad 2
el carácter	Charakter	Unidad 2
gordo/-a	dick	Unidad 2
joven	jung	Unidad 2
los/las dos	beide	Unidad 2
un poco	ein wenig, ein bisschen	Unidad 2
me encanta	es gefällt mir sehr	Unidad 2
encantar	begeistern	Unidad 2
me gusta	mir gefällt, ich mag	Unidad 2
gustar	gefallen	Unidad 2
me aburre	mich langweilt	Unidad 2
aburrir	langweilen	Unidad 2
público/-a	öffentlich	Unidad 2
el/la participante	Teilnehmer/in	Unidad 2
interesar	interessieren	Unidad 2
la explicación	Erklärung	Unidad 2
en detalle	im Detail	Unidad 2
una vez a la semana	einmal in der Woche	Unidad 2
la vez	Mal	Unidad 2
visitar	besuchen, besichtigen	Unidad 2
el/la especialista	Spezialist/in	Unidad 2
el/la artista	Künstler/in	Unidad 2
que	der/die/das (Relativpronomen)	Unidad 2
particular	besonders, eigene/r/s	Unidad 2
el punto de vista	Standpunkt	Unidad 2
el/la mismo/-a	derselbe / dieselbe	Unidad 2
la ruta	Route, Weg	Unidad 2
si	wenn	Unidad 2
la respuesta	Antwort	Unidad 2
practicar deporte	Sport treiben	Unidad 2
estar en contacto (con)	in Kontakt stehen (mit)	Unidad 2
descubrir	entdecken	Unidad 2
crear	schaffen, erstellen	Unidad 2
la imagen	Bild	Unidad 2
impactante	beeindruckend	Unidad 2
el paseo	Spaziergang	Unidad 2
aprender a + inf	lernen (etwas zu tun)	Unidad 2
fotografiar	fotografieren	Unidad 2
el efecto	Wirkung, Effekt	Unidad 2
diferente	verschieden, unterschiedlich	Unidad 2
todos los / todas las	alle	Unidad 2
la posibilidad	Möglichkeit	Unidad 2
la cámara	Kamera	Unidad 2
además	außerdem	Unidad 2
conversar	sich unterhalten	Unidad 2
comer	essen	Unidad 2
el cine	Kino	Unidad 2
molestar	stören	Unidad 2
¿Qué les gusta?	Was gefällt ihnen?	Unidad 2
(a él) le	ihm	Unidad 2
(a ella) le	ihr	Unidad 2
francés/-esa	französisch	Unidad 2
la cosa	Sache, Ding	Unidad 2
(a mí) me	mir	Unidad 2
(a ti) te	dir	Unidad 2
(a usted) le	Ihnen (Singular)	Unidad 2
(a nosotros/-as) nos	uns	Unidad 2
(a vosotros/-as) os	euch	Unidad 2
(a ellos/ellas/ustedes) les	ihnen, Ihnen	Unidad 2
la moda	Mode	Unidad 2
asiático/-a	asiatisch	Unidad 2
el viaje	Reise, Fahrt	Unidad 2
el fútbol	Fußball	Unidad 2
el videojuego	Videospiel, Computerspiel	Unidad 2
el arte moderno	moderne Kunst	Unidad 2
no mucho	nicht so	Unidad 2
las reglas del piso	Hausordnung	Unidad 2
el lugar de residencia	Wohnort	Unidad 2
la cena	Abendessen	Unidad 3
la pizza	Pizza	Unidad 3
el supermercado	Supermarkt	Unidad 3
congelado/-a	(tief-)gefroren, tiefgekühlt	Unidad 3
la ensaladilla rusa	russischer Kartoffelsalat	Unidad 3
ruso/-a	russisch	Unidad 3
la sangría	Sangría	Unidad 3
la receta	Rezept	Unidad 3
de toda la vida	traditionell	Unidad 3
la tortilla de patatas	Kartoffelomelett	Unidad 3
la patata	Kartoffel	Unidad 3
poder	können, dürfen	Unidad 3
faltar	fehlen	Unidad 3
la empanada	gefüllte Teigpastete	Unidad 3
el atún	Thunfisch	Unidad 3
la verdura	Gemüse	Unidad 3
el guacamole	Avocado-Dip	Unidad 3
picante	scharf	Unidad 3
el pan	Brot	Unidad 3
blanco/-a	weiß	Unidad 3
negro/-a	schwarz	Unidad 3
la oliva	Olive	Unidad 3
Es igual.	Es ist egal.	Unidad 3
igual	gleich	Unidad 3
la salsa	Soße	Unidad 3
el aguacate	Avocado	Unidad 3
el tomate	Tomate	Unidad 3
la cebolla	Zwiebel	Unidad 3
el chile	Chili	Unidad 3
la base	Grundlage	Unidad 3
el queso	Käse	Unidad 3
mucho/-a	viel/e	Unidad 3
el ingrediente	Zutat	Unidad 3
la bebida	Getränk	Unidad 3
el vino tinto	Rotwein	Unidad 3
la fruta	Obst, Frucht	Unidad 3
el azúcar	Zucker	Unidad 3
la especialidad	Spezialität	Unidad 3
relleno/-a (de)	gefüllt (mit)	Unidad 3
¿Con qué frecuencia?	Wie oft?	Unidad 3
todas las semanas	jede Woche	Unidad 3
al mes	im/pro Monat	Unidad 3
en mi casa	bei mir (zuhause)	Unidad 3
la casa	Haus	Unidad 3
el restaurante	Restaurant	Unidad 3
reservar	reservieren	Unidad 3
la mesa	Tisch	Unidad 3
comprar	kaufen	Unidad 3
la comida preparada	Fertiggericht	Unidad 3
la comida	Lebensmittel, Speise; Mahlzeit	Unidad 3
cada	jede/r/s	Unidad 3
el plato	Speise, Gericht	Unidad 3
el orden	Ordnung, Reihenfolge	Unidad 3
la nevera	Kühlschrank	Unidad 3
organizar	ordnen, organisieren	Unidad 3
el alimento	Lebensmittel	Unidad 3
el envase	Verpackung	Unidad 3
el (producto) lácteo	Milchprodukt	Unidad 3
los embutidos	Wurstwaren, Aufschnitt	Unidad 3
el pescado	Fisch	Unidad 3
el interior	Innenseite	Unidad 3
el huevo	Ei	Unidad 3
la mermelada	Marmelade	Unidad 3
la mantequilla	Butter	Unidad 3
la puerta	Tür	Unidad 3
la lechuga	Kopfsalat	Unidad 3
la gamba	Krabbe, Garnele	Unidad 3
la naranja	Orange	Unidad 3
la leche	Milch	Unidad 3
el plátano	Banane	Unidad 3
el pollo	Hähnchen	Unidad 3
el cerdo	Schwein	Unidad 3
el yogur	Joghurt	Unidad 3
la manzana	Apfel	Unidad 3
el jamón	Schinken	Unidad 3
el zumo (de fruta)	(Frucht-)Saft	Unidad 3
el arroz	Reis	Unidad 3
la pasta	Nudeln, Teigwaren	Unidad 3
el ajo	Knoblauch	Unidad 3
el agua	Wasser	Unidad 3
los cereales	Getreide(flocken), Müsli	Unidad 3
la cerveza	Bier	Unidad 3
maduro/-a	reif	Unidad 3
el alcohol	Alkohol	Unidad 3
todos los días	jeden Tag	Unidad 3
al día	am Tag, pro Tag	Unidad 3
a veces	manchmal	Unidad 3
casi	fast	Unidad 3
nunca	nie	Unidad 3
desayunar	frühstücken	Unidad 3
cenar	zu Abend essen	Unidad 3
delante de	vor	Unidad 3
el ordenador	Computer	Unidad 3
la tele(visión)	Fernseher	Unidad 3
la comida congelada	Tiefkühlkost	Unidad 3
la sopa	Suppe	Unidad 3
pocas veces	selten	Unidad 3
el refri(gerador)	Kühlschrank (LA)	Unidad 3
gustar	schmecken	Unidad 3
vegetariano/-a	vegetarisch	Unidad 3
todo	alles	Unidad 3
preferir	bevorzugen	Unidad 3
poco/-a	wenig	Unidad 3
gastar (en)	ausgeben (für)	Unidad 3
soler + inf	etw. zu tun pflegen	Unidad 3
el hábito	Gewohnheit	Unidad 3
¿Cuánto/-a?	Wie viel?	Unidad 3
el dinero	Geld	Unidad 3
¿Qué tomáis?	Was möchtet ihr essen/trinken?	Unidad 3
el bocadillo	belegtes Brot	Unidad 3
la albóndiga	Hackfleischbällchen	Unidad 3
la tarta de manzana	Apfelkuchen	Unidad 3
la tarta	Kuchen, Torte	Unidad 3
la ensalada mixta	gemischter Salat	Unidad 3
la ensalada	Salat	Unidad 3
el filete	Schnitzel; Filet	Unidad 3
empanado/-a	paniert	Unidad 3
el gazpacho	kalte Gemüsesuppe	Unidad 3
la espinaca	Spinat	Unidad 3
el garbanzo	Kichererbse	Unidad 3
la merluza	Seehecht	Unidad 3
en salsa	mit Soße	Unidad 3
la paella	Paella	Unidad 3
el flan	Karamellpudding	Unidad 3
andaluz/a	andalusisch	Unidad 3
la especie (de)	Sorte, Art	Unidad 3
frío/-a	kalt	Unidad 3
caliente	warm, heiß	Unidad 3
el guiso	Schmorgericht; Eintopf	Unidad 3
Lleva espinacas.	Das ist mit Spinat.	Unidad 3
llevar	enthalten	Unidad 3
el postre	Nachtisch	Unidad 3
el segundo (plato)	Hauptgericht	Unidad 3
español/-a	spanisch	Unidad 3
frito/-a	frittiert	Unidad 3
el pepino	Gurke	Unidad 3
preparar	zubereiten	Unidad 3
salado/-a	gesalzen, salzig	Unidad 3
dulce	süß	Unidad 3
el modo de tomarlo	Art zu essen	Unidad 3
mexicano/-a	mexikanisch	Unidad 3
alemán/-ana	deutsch	Unidad 3
el mapa	(Land-)Karte	Unidad 3
muchas veces	oft	Unidad 3
algunas veces	manchmal	Unidad 3
la cafetería	Cafeteria	Unidad 3
el hambre	Hunger	Unidad 3
el/la vegetariano/-a	Vegetarier/in	Unidad 3
el martes	Dienstag	Unidad 3
septiembre	September	Unidad 3
el menú	Speisekarte; Menü	Unidad 3
el primero	Vorspeise, erster Gang	Unidad 3
el plato del día	Tagesgericht	Unidad 3
incluir	einschließen	Unidad 3
vegano/-a	vegan	Unidad 3
los espaguetis	Spaghetti	Unidad 3
al horno	im Ofen, Brat-	Unidad 3
el chorizo	Paprikawurst	Unidad 3
a la sidra	in Cidre	Unidad 3
el aceite	(Speise-)Öl	Unidad 3
vegetal	pflanzlich	Unidad 3
la oferta	Angebot	Unidad 3
desde	ab	Unidad 3
de primero	als Vorspeise	Unidad 3
de segundo	als Hauptgericht	Unidad 3
elegir	auswählen	Unidad 3
para beber	zu trinken	Unidad 3
pedir	bestellen, erbitten	Unidad 3
de postre	als Nachtisch	Unidad 3
querer	wollen, mögen	Unidad 3
el comedor universitario	Mensa	Unidad 3
costar	kosten	Unidad 3
el/la cliente/-a	Kunde/-in	Unidad 3
¿Qué os pongo?	Was darf ich euch bringen?	Unidad 3
el euro	Euro	Unidad 3
¿Me cobra/s?	Bitte zahlen!	Unidad 3
cobrar	kassieren	Unidad 3
por favor	bitte	Unidad 3
barato/-a	billig	Unidad 3
la cocina	Küche, Kochkunst	Unidad 3
latino/-a	lateinamerikanisch	Unidad 3
el día de cierre	Ruhetag	Unidad 3
cerrar	schließen	Unidad 3
